Original Phrase/Word,Argentinian Equivalent,Explanation (Context/Usage),Region Specificity,Level of Formality
A lot,Un montón,Means many or a large amount; neutral usage,Nationwide,Neutral
To chill / endure,Aguantar,Used to express tolerance or acceptance,Nationwide,Casual
I don't believe it,No me jodas,Expresses disbelief; can be vulgar,Nationwide,Casual
To work hard,Ponerse las pilas,"Means to get one's act together; literally 'put on your batteries'",Nationwide,Casual
Nothing to worry about,No hay drama,Reassuring phrase used informally,Nationwide,Casual
To mess up,Cagarla,Informal phrase meaning to screw something up; vulgar,Nationwide,Casual
To relax,Desenchufarse,Means to unplug or disconnect from stress,Nationwide,Casual
Lousy / Boring,Re fome,Describes something very boring or unimpressive,Nationwide,Casual
An idiot (repeat usage),Boludo,"Common insult, sometimes used affectionately among friends",Nationwide,Casual
Really good,Buenísimo,Exclamation used to praise something excellent,Nationwide,Neutral
To hang in there,Aguantá,Encourages someone to endure tough times,Nationwide,Casual
To mess around,Hacer el boludo,Means to act foolishly in a playful manner,Nationwide,Casual
To understand (get it),Cachar,Informal term for 'to get it'; popular among youth,Nationwide,Casual
Hey,Che,Iconic expression used to call someone's attention similar to "hey",Nationwide,Casual
Pay attention,Che boludo,Used to get someone's attention in a friendly but urgent way,Nationwide,Casual
Yes/Sure,De una,Enthusiastic way to say "yes" or "sure",Nationwide,Casual
That sucks,Mal ahí,Sympathetic response to something negative happening,Nationwide,Casual
To work,Laburar,Lunfardo term for "to work" replacing standard "trabajar",Nationwide,Casual
Beer,Birra,"Argentinian word for beer, derived from Italian",Nationwide,Casual
Laziness,Fiaca,Refers to laziness or lack of energy,Nationwide,Casual
To flirt/lie,Chamuyar,Versatile verb meaning either to flirt or to lie depending on context,Nationwide,Casual
Idiot,Banana,Mild insult meaning "idiot" particularly for obvious mistakes,Urban Argentina,Casual
Dumb/Foolish,Salame,Used to call someone dumb or foolish,Nationwide,Casual
Terrible at something,Queso,Describes someone who isn't skilled particularly in sports,Nationwide,Casual
Very easy,Una papa,Describes something extremely easy to do,Nationwide,Casual
Very difficult,Un huevo,Means something is difficult or hard,Nationwide,Casual
Drunk,Estar en pedo,Means to be drunk,Nationwide,Casual
Having nothing to do,Estar al pedo,Means having nothing to do,Nationwide,Casual
Barely/By chance,De pedo,"Means ""barely"" or ""by chance""",Nationwide,Casual
Cheap person,Rata,Describes someone who is cheap or doesn't want to spend money,Nationwide,Casual
Nightclub,Boliche,Refers to a nightclub replacing standard "discoteca",Nationwide,Casual
Police,Cana,"Common term for police officers, neutral connotation",Urban areas,Casual
Police,Rati,"Slang term for police, slightly derogatory",Urban areas,Casual
Police,Yuta,"Slang term for police, derogatory",Urban areas,Casual
Police,Vigilante,"Slang term for police, somewhat negative",Urban areas,Casual
